Keys,English,French,Italian,German,Spanish (LATAM),Portuguese (Brazil),Turkish,Russian,Japanese,Korean,Chinese (Simplified),Arabic
Timed_Title,"Each decision occurs in real time with a timer counting down. 
Recommended for a more immersive experience.","Chaque décision survient en temps réel avec un temps imparti.
Recommandé pour une expérience plus immersive.","Ogni decisione occorre in tempo reale, il tempo è limitato da un conto alla rovescia.
Consigliato per un'esperienza più coinvolgente.","Jede Entscheidung erfolgt in Echtzeit, wobei ein Timer herunterzählt. 
Empfohlen für ein noch intensiveres Erlebnis.
","Cada decisión ocurre en tiempo real con un temporizador en cuenta regresiva.
Recomendado para una experiencia más inmersiva.","Cada decisão acontece em tempo real com uma contagem de tempo.
Recomendado para uma experiência mais imersiva.","Her kararınız, geri sayım yapan bir zamanlayıcı ile gerçek zamanlı olarak gerçekleşir.
Daha heyecanlı bir deneyim için tavsiye edilir.","Каждое решение происходит в режиме реального времени с обратным отсчетом таймера. 
Рекомендуется для более захватывающего опыта.","各選択はリアルタイムで発生しタイマーがカウントを始めます。
よりリアルな体験のために推奨。","각 결정은 타이머 카운트로 실시간으로 발생합니다.
더 몰입 가능한 경험을 위해 추천됩니다.","每次决定都将实时发生，计时器将倒数计时。
推荐用于更具沉浸感的体验。","كل قرار يحدث في الوقت الحقيقي مع عداد للعد التنازلي.
موصى به لتجربة أكثر تشويقاً.
"
back,back,retour,indietro,Zurück,volver,voltar,Geri,назад,戻る,뒤로,返回,الرجوع
brightness,brightness,luminosité,luminosità,Helligkeit,brillo,brilho,Parlaklık ayarı,яркость,明るさ,명도,亮度,السطوع
display mode,display mode,mode d'affichage,modalità sisplay,Anzeigemodus,modo de visualización,modo de exibição,Görüntü biçimi,Режим Отображения,ディスプレイモード,디스플레이 모드,显示模式,وضع العرض
full screen,full screen,plein écran,schermo intero,Vollbildmodus,pantalla completa,tela cheia,Tam ekran,полноэкранный,全画面表示,전체 화면,全屏,شاشة كاملة
game_title,The Run,title_fr,title_it,title_de,title_es,title_ptbr,title_tr,title_ru,title_ja,title_ko,title_zhs,title_ar
language,language,langue,lingua,Sprache,idioma,idioma,lisan,язык,言語,언어,语言,لغة
large,large,grand,grande,groß,grande,ampliar,büyük,большой,大きい,큰,大,كبير
loading,loading,chargement,caricamento,wird geladen,cargando,carregando,Yükleniyor,загрузка,ローディング中,로딩 중,载入中,جار التحميل
no,no,non,no,nein,no,não,numara,нет,番号,아니요,否,لا
normal,normal,normal,normale,normal,normal,normal,normal,обычный,正常,정상,普通,عادي
off,off,désactivé,off,aus,apagado,desligar,kapalı,выключить,オフ,끄기,关闭,إيقاف
on,on,activé,on,an,encendido,ligar,açık,на,オン,켜기,打开,تشغيل
pause choices,Paused Choices,mettre en pause les choix,scelte in pausa,Pause Optionen,pausar decisiones,escolhas para pausar,Seçeneklerini beklet,выбор паузы,停止選択,선택 일시중지,暂停选择,وقف الخيارات
popupfirst,All your saved progress will be lost,Votre progression sauvegardée sera perdue,Tutti i tuoi progressi salvati andranno persi,Alle Ihre gespeicherten Spielfortschritte gehen verloren,Se perderá todo su progreso guardado.,Todo o seu trabalho salvo será perdido,Tüm kaydedilmiş ilerlemeniz kaybolacak,Весь ваш сохраненный прогресс будет утерян,保存されたすべての内容は失われます,당신의 모든 공유 된 진행 상황은 손실됩니다,所有已保存进度将会丢失,سيضيع كل تقدمك المحفوظ
popupsecond,Would you like to continue?,Voulez-vous continuer?,Vuoi continuare?,Möchten Sie das Spiel fortsetzen?,¿Le gustaría continuar?,Você gostaria de continuar?,Devam etmek ister misin?,Желаете продолжить?,続行しますか？,계속 하시겠습니까?,你想继续吗？,هل ترغب في الاستمرار؟
press,press,appuyer,premere,Drücken Sie,presionar,pressione,basınız,Нажмите,押す,누르기,点击,صحافة
resolution,resolution,résolution,risoluzione,Auflösung,resolución,resolução,çözünürlük,разрешение,解像度,해결,解析度,الدقة
resume,resume,reprendre,riprendi,fortsetzen,reanudar,retomar,devam edin,продолжить,再スタート,다시 시작하기,恢复,سيرة ذاتية
select_text,select,sélectionner,Selezionare,auswählen,Seleccione,Selecione,seçme,Выбрать,選択する,고르다,选择,تحديد
skip,skip,sauter,salta,überspringen,saltar,pular,atlayın,пропустить,スキップ,넘기기,跳过,تخطى
small,small,petit,piccolo,klein,pequeña,pequeno,küçük,маленький,小さい,작은,小,صغير
stats,stats,statistiques,statistiche,Statistiken,estadísticas,estatísticas,istatistikler,татистика,統計,통계,统计,احصائيات
subtitle,subtitle,sous-titre,sottotitolo,Untertitel,subtítulos,legenda,alt yazı,субтитры,字幕,자막,字幕,ترجمة
subtitle size,subtitle size,taille de sous-titre,dimensione dei sottotitoli,Untertitelgröße,tamaño de subtítulos,tamanho da legenda,altyazı boyutu,размер субтитров,字幕サイズ,자막 크기,字幕尺寸,حجم الترجمة
to select,to select,pour sélectionner,per selezionare,zur Auswahl,para seleccionar,selecionar,seçim,выбрать,選ぶ,선택하려면,选择,تحديد
to toggle,to toggle,pour basculer,per attivare,hin- und herschalten,para alternar,alternar,geçiş yapmak,переключить,トグル,토글하려면,切换,تبديل
volume,volume,volume,volume,Lautstärke,volumen,volume,Ses ayarı,громкость,音量,용량,音量,الصوت
windowed,windowed,mode fenêtré,riquadrato,fensteraktiv,con ventana,modo janela,pencereli,оконный,ウィンドウ,창문,窗口,نوافذ
yes,yes,oui,SÌ,Ja,Sí,sim,Evet,да,はい,예,是的,نعم
endGame,End Game,Fin du jeu,Fine del gioco,Spiel beenden,Fin del juego,Fim do jogo,Oyunu Sonlandır,Конец игры,エンドゲーム,게임 종료,游戏结束,نهاية اللعبة
CheckpointText,Restart from checkpoint,Retourner au checkpoint,Ripartire dal checkpoint,Starten Sie vom Kontrollpunkt aus neu,Reiniciar desde el punto de control,Reiniciar do ponto de verificação,Kontrol noktasından yeniden başlat,Перезапуск с контрольной точки,チェックポイントから再開,체크포인트에서 다시 시작,从检查点重新启动,إعادة التشغيل من نقطة التفتيش
DeathsText,Deaths,Décès,Deceduti,Todesfälle,Fallecidos,Mortes,Ölümler,Летальные исходы,死亡者（数,사망자,死亡人数,حالات الوفاة
zoom_in,Zoom In,Zoomer,Ingrandisci,Vergrößern,Dar un golpe de zoom,Ampliar,Yakınlaştır,Увеличить масштаб,ズームイン,확대,放大,تكبير
zoom_out,Zoom Out,Zoom arrière,Rimpicciolisci,Herauszoomen,Alejar,Diminuir zoom,Uzaklaştır,Уменьшить масштаб,ズームアウト,축소,缩小,تصغير
pan_key,Pan,Poêle,Padella,Pfanne,Cacerola,Frigideira,Tava,Кастрюля,パン,팬,平底锅,مِقلاة
total_deaths,Total Deaths,Total des décès,Morti totali,Totale dei decès,Muertes totales,Total de mortes,Toplam Ölümler,Всего смертей,総死亡者数,총 사망자,总死亡人数,إجمالي الوفيات
total_decisions_made,Total Decisions Made,Total des décisions prises,Decisioni totali prese,Insgesamt getroffene Entscheidungen,Total de decisiones tomadas,Total de decisões tomadas,Alınan Toplam Kararlar,Всего принятых решений,Всего призов по решениям,총 결정 사항,做出的总决定,إجمالي القرارات المتخذة
